id,Number,Value,Part_of_Speech,Gloss,Notes,Changed
1,1,a,v,"bring.IMP; marry.IMP","Not in the dictionary! stem = ""-ow-""",2013-08-04
2,2,-a,vsuf,INF," 
",2010-08-02
3,3,-a,nsuf,ERG," 
",2009-10-03
4,4,-a,nsuf,IN.ESS," 
",2010-01-27
5,5,-a,vsuf,PST.WIT.INT," 
",2009-08-27
6,6,-a,suf,Q,"also used like ""or"" (after both options) in questions",2014-06-25
7,7,"abužahal",n1,devil,"Not in the Dictionary!  Arsen: ""d'javol"" in the glossing, ""dzhin"" in the translation.
",2014-06-25
8,8,ac,n2,door,"Dict. doesn't have OBL in ""acmo-"" (I think this is seldom used in the texts...)
",2014-06-25
9,9,-ace,vsuf,TERM,"""forma predela dejstv.""? / terminative temporal converb? ""until ...""? might be ""-ce"" as well, when ""-a"" is the infinitive?
",2014-06-25
10,10,-ace,nsuf,TERM,"Terminative on nouns! Compare with ""-d"" and ""-ace"" (vsuf). Example here is ""sida sa3atyace"" = 'up to one hour'... Arsen calls it
 ""forma predela""... another eexmple is ""becärce"" < *besi-ar-ce
 ('month-IN.LAT-TERM').
",2014-06-25
11,11,aci,v,bother,"Affective verb!",2009-10-27
12,12,ac-mada,n4,door," 
",2013-08-21
13,13,"acmoł",n,door,"Not in the Dictionary!",2009-08-24
14,14,"ac’",v,eat,transitive,2009-09-12
15,15,"ac’-xan",v,glut.oneself.with," 
",2009-11-05
16,16,"ačit’",n3,pine,"Dict.: class III; in the text it seems to be class II?",2014-05-20
17,17,"ačqˤa",n4,thirst,"Dict.: ""3achqa""",2008-08-20
18,18,"ačqˤad",v,be.thirsty,"Dict.: ""3achqada""",2009-02-18
19,19,"-ač’in",vsuf,NEG.FUT.DEF," 
",2009-07-28
20,20,"ač’u",n3,handle,"Dict. doesn't have OBL in ""ach'ur-""",2013-08-04
21,21,ad,"adv; post","before; in.front","Not in the Dictionary! (maybe ""adi"" or ""ade"" or a similar form?); as a postposition it follows CONT.ESS
",2014-06-25
22,22,adab,n3,esteem," 
",2009-10-27
23,23,"adab-ħurmat",n3,respect,"maybe it also means ""compliments"", as Arsen translates it in the translation with ""pochtenie""
",2014-06-25
24,24,"ad-adäz","adv; post","ahead; before",+CONT.ESS,2012-08-09
25,25,"ad-adäza",post,in.front.of,"Not in the Dictionary!; but used with CONT.ESS",2014-06-25
26,26,"adäy",adv,"earlier; ahead","Not in the Dictionary! Real form a bit unclear... (Arsen: 'ahead-IN.ABL')
",2014-06-25
27,27,"adäz","post; adv","ahead; before","+ CONT.ESS; +SUPER.ESS or +IN.ESS (with 'before')",2014-06-25
28,28,"adäza","adv; post","ahead; before","+ CONT.ESS or INF (on verbs)",2013-08-04
29,29,"adek’",v,push.forward," 
",2010-01-21
30,30,ader,adv,"forward; earlier; before","""before"" in the temporal sense (used with +SUPER.ABL)",2014-06-25
31,31,adiru,adj,fulfilled," 
",2006-11-07
